Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
South Africa,ZAF,2000,Control of Corruption: Percentile Rank,CC.PER.RNK,70.2127685546875
South Africa,ZAF,1998,Control of Corruption: Percentile Rank,CC.PER.RNK,72.7272720336914
South Africa,ZAF,1996,Control of Corruption: Percentile Rank,CC.PER.RNK,76.3440856933594
South Africa,ZAF,2022,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,31.6037731170654
South Africa,ZAF,2021,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,46.1904754638672
South Africa,ZAF,2020,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,45.238094329834
South Africa,ZAF,2019,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,47.1428565979004
South Africa,ZAF,2018,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,42.8571434020996
South Africa,ZAF,2017,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,43.3333320617676
South Africa,ZAF,2016,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,49.523811340332
South Africa,ZAF,2015,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,47.6190490722656
South Africa,ZAF,2014,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,45.6730766296387
South Africa,ZAF,2013,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,44.5497627258301
South Africa,ZAF,2012,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,43.1279602050781
South Africa,ZAF,2011,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,52.1327018737793
South Africa,ZAF,2010,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,52.8571434020996
South Africa,ZAF,2009,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,54.5454559326172
South Africa,ZAF,2008,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,54.3689308166504
South Africa,ZAF,2007,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,55.3398056030273
South Africa,ZAF,2006,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,59.0243911743164
South Africa,ZAF,2005,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,60.9756088256836
South Africa,ZAF,2004,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,58.6206893920898
South Africa,ZAF,2003,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,58.7301597595215
South Africa,ZAF,2002,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,58.201057434082
South Africa,ZAF,2000,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,62.2340431213379
South Africa,ZAF,1998,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,63.6363639831543
South Africa,ZAF,1996,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,66.129035949707
South Africa,ZAF,2022,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,52.3584899902344
South Africa,ZAF,2021,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,60
South Africa,ZAF,2020,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,59.0476188659668
South Africa,ZAF,2019,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,59.523811340332
South Africa,ZAF,2018,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,58.0952377319336
South Africa,ZAF,2017,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,57.1428565979004
South Africa,ZAF,2016,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,61.4285697937012
South Africa,ZAF,2015,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,60
South Africa,ZAF,2014,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,59.6153831481934
South Africa,ZAF,2013,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,60.1895751953125
South Africa,ZAF,2012,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,59.2417068481445
South Africa,ZAF,2011,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,63.5071105957031
South Africa,ZAF,2010,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,66.1904754638672
South Africa,ZAF,2009,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,68.4210510253906
South Africa,ZAF,2008,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,67.4757308959961
South Africa,ZAF,2007,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,70.8737869262695
South Africa,ZAF,2006,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,72.6829299926758
South Africa,ZAF,2005,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,72.6829299926758
South Africa,ZAF,2004,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,72.9064025878906
South Africa,ZAF,2003,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,73.0158767700195
South Africa,ZAF,2002,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,73.5449752807617
South Africa,ZAF,2000,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,81.3829803466797
South Africa,ZAF,1998,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,81.2834243774414
South Africa,ZAF,1996,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,81.1827926635742
South Africa,ZAF,2022,Control of Corruption: Standard Error,CC.STD.ERR,0.157882779836655
South Africa,ZAF,2021,Control of Corruption: Standard Error,CC.STD.ERR,0.160396903753281
South Africa,ZAF,2020,Control of Corruption: Standard Error,CC.STD.ERR,0.140654876828194
South Africa,ZAF,2019,Control of Corruption: Standard Error,CC.STD.ERR,0.136902272701263
South Africa,ZAF,2018,Control of Corruption: Standard Error,CC.STD.ERR,0.128363102674484
South Africa,ZAF,2017,Control of Corruption: Standard Error,CC.STD.ERR,0.124570570886135
South Africa,ZAF,2016,Control of Corruption: Standard Error,CC.STD.ERR,0.135925650596619
South Africa,ZAF,2015,Control of Corruption: Standard Error,CC.STD.ERR,0.132876724004745
South Africa,ZAF,2014,Control of Corruption: Standard Error,CC.STD.ERR,0.131379410624504
South Africa,ZAF,2013,Control of Corruption: Standard Error,CC.STD.ERR,0.1341702491045
South Africa,ZAF,2012,Control of Corruption: Standard Error,CC.STD.ERR,0.134063750505447
South Africa,ZAF,2011,Control of Corruption: Standard Error,CC.STD.ERR,0.142364144325256
South Africa,ZAF,2010,Control of Corruption: Standard Error,CC.STD.ERR,0.151136338710785
South Africa,ZAF,2009,Control of Corruption: Standard Error,CC.STD.ERR,0.148100167512894
South Africa,ZAF,2008,Control of Corruption: Standard Error,CC.STD.ERR,0.149941429495811
South Africa,ZAF,2007,Control of Corruption: Standard Error,CC.STD.ERR,0.151885241270065
South Africa,ZAF,2006,Control of Corruption: Standard Error,CC.STD.ERR,0.145839288830757
South Africa,ZAF,2005,Control of Corruption: Standard Error,CC.STD.ERR,0.156183674931526
South Africa,ZAF,2004,Control of Corruption: Standard Error,CC.STD.ERR,0.154881998896599
South Africa,ZAF,2003,Control of Corruption: Standard Error,CC.STD.ERR,0.167580172419548
South Africa,ZAF,2002,Control of Corruption: Standard Error,CC.STD.ERR,0.174256473779678
South Africa,ZAF,2000,Control of Corruption: Standard Error,CC.STD.ERR,0.199174165725708
South Africa,ZAF,1998,Control of Corruption: Standard Error,CC.STD.ERR,0.18862821161747
South Africa,ZAF,1996,Control of Corruption: Standard Error,CC.STD.ERR,0.210325092077255
South Africa,ZAF,2021,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-14512642726.8324
South Africa,ZAF,2020,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,144910559472.545
South Africa,ZAF,2019,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,96925822701.362
South Africa,ZAF,2018,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-15930897364.0983
South Africa,ZAF,2017,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,59348505414.3724
South Africa,ZAF,2016,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,73723721739.4717
South Africa,ZAF,2015,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,13947037635.9635
South Africa,ZAF,2014,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,74700697400.75
South Africa,ZAF,2013,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,53498401901.49
South Africa,ZAF,2012,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,1488630849.00001
South Africa,ZAF,2011,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-15387434030.8
South Africa,ZAF,2010,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,71070843335.25
South Africa,ZAF,2009,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,101470694242
South Africa,ZAF,2008,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,46682000000
South Africa,ZAF,2007,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,32670000000
South Africa,ZAF,2006,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,29290000000
South Africa,ZAF,2005,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,37564000000
South Africa,ZAF,2004,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,24518000000
South Africa,ZAF,2003,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,9006300000
South Africa,ZAF,2002,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,1951000000
South Africa,ZAF,2001,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,6320000000
South Africa,ZAF,2000,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-1037800000
South Africa,ZAF,1999,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,623300000
South Africa,ZAF,1998,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-2823000000
South Africa,ZAF,1997,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-2724000000
South Africa,ZAF,1996,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-8806000000
South Africa,ZAF,1995,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,174000000
South Africa,ZAF,1994,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,476000000
South Africa,ZAF,1993,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-243000000
South Africa,ZAF,1992,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-3867000000
South Africa,ZAF,1991,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,2054000000
South Africa,ZAF,1990,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,379000000
South Africa,ZAF,2021,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.233743650126314
South Africa,ZAF,2020,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,2.6025726714987
South Africa,ZAF,2019,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.72306246622666
South Africa,ZAF,2018,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.297041426552613
South Africa,ZAF,2017,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.16869408776329
South Africa,ZAF,2016,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.5489626402447
South Africa,ZAF,2015,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.31548726967983
South Africa,ZAF,2014,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.80703899171317
South Africa,ZAF,2013,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.38287711721137
South Africa,ZAF,2012,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.0417406094504395
South Africa,ZAF,2011,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.46249523871058
South Africa,ZAF,2010,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,2.32591099228009
South Africa,ZAF,2009,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,3.63143878557761
South Africa,ZAF,2008,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.78746550080877
South Africa,ZAF,2007,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.39219746833163
South Africa,ZAF,2006,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.42350732414272
South Africa,ZAF,2005,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,2.04485420401991
South Africa,ZAF,2004,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.48375055002072
South Africa,ZAF,2003,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.604287836633554
South Africa,ZAF,2002,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.143384266645541
South Africa,ZAF,2001,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.542051640271897
South Africa,ZAF,2000,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.0985435875345258
South Africa,ZAF,1999,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.067333525676254
South Africa,ZAF,1998,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.333793137104273
South Africa,ZAF,1997,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.349838740971879
South Africa,ZAF,1996,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-1.25476644321453
South Africa,ZAF,1995,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.0279338205498727
South Africa,ZAF,1994,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.0873246072261486
South Africa,ZAF,1993,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.0505203325223837
South Africa,ZAF,1992,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,-0.922645250416944
South Africa,ZAF,1991,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.550168746986661
South Africa,ZAF,1990,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.116212395784464
South Africa,ZAF,2021,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,4682597134893.73
South Africa,ZAF,2020,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,4308363314038.21
South Africa,ZAF,2019,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,3633280303931
South Africa,ZAF,2018,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,3169769509706
South Africa,ZAF,2017,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,2856975475258.65
South Africa,ZAF,2016,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,2557727087795.13
South Africa,ZAF,2015,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,2327598423524.07
South Africa,ZAF,2000,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,417454000000
South Africa,ZAF,1999,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,390438000000
South Africa,ZAF,1998,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,377656000000
South Africa,ZAF,1997,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,336184000000
South Africa,ZAF,1996,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,310407000000
South Africa,ZAF,1995,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,279487000000
South Africa,ZAF,1994,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,244294000000
South Africa,ZAF,1993,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,192161000000
South Africa,ZAF,1992,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,154665000000
South Africa,ZAF,1991,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,126613000000
South Africa,ZAF,1990,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,105656000000
South Africa,ZAF,2021,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,75.4188859316029
South Africa,ZAF,2020,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,77.3775814600164
South Africa,ZAF,2019,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,64.5892781356411
South Africa,ZAF,2018,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,59.1023114070096
South Africa,ZAF,2017,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,56.2597208389163
South Africa,ZAF,2016,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,53.7387913884354
South Africa,ZAF,2015,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,52.6511572360833
South Africa,ZAF,2000,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,39.6390583837328
South Africa,ZAF,1999,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,42.1780316027359
South Africa,ZAF,1998,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,44.6542617733798
South Africa,ZAF,1997,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,43.1755459966557
South Africa,ZAF,1996,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,44.2298759185659
South Africa,ZAF,1995,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,44.8686189886337
South Africa,ZAF,1994,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,44.8169697430772
South Africa,ZAF,1993,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,39.9507720898509
South Africa,ZAF,1992,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,36.9022310979407
South Africa,ZAF,1991,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,33.9135908287352
South Africa,ZAF,1990,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,32.3971949577925
South Africa,ZAF,2021,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,302878733113.216
South Africa,ZAF,2020,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,694670438938.177
South Africa,ZAF,2019,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,420483601324.286
South Africa,ZAF,2018,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,289530363337.312
South Africa,ZAF,2017,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,295867459623.823
South Africa,ZAF,2016,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,238428047355.449
South Africa,ZAF,2015,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,215728658457.035
South Africa,ZAF,2014,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,216887802528.25
South Africa,ZAF,2013,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,215322936991.7
South Africa,ZAF,2012,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,152421365239.25
South Africa,ZAF,2011,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,166337980082.75
South Africa,ZAF,2010,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,206821735707.75
South Africa,ZAF,2009,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,226219238018
South Africa,ZAF,2008,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,62067000000
South Africa,ZAF,2007,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,10971000000
South Africa,ZAF,2006,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,13204000000
South Africa,ZAF,2005,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,40537000000
South Africa,ZAF,2004,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,52318000000
